Name,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5
FS,0.68374,0.42032,0.58503,0,0,0.0046035,0.013397,64.493,0,0
SF6,1.77931763,0.338149866,2.08734474,0,0,0.013371418,0.061753362,174.01759,0,0
SF10,1.61625977,0.259229334,1.07762317,0,0,0.012753456,0.058198395,116.60768,0,0
SF11,1.73848403,0.311168974,1.17490871,0,0,0.01360686,0.06159604,121.922711,0,0
SF57,1.81651371,0.428893641,1.07186278,0,0,0.01437042,0.059280117,121.419942,0,0
BK7,1.03961212,0.231792344,1.01046945,0,0,0.00600007,0.020017914,103.560653,0,0
BaK1,1.12365662,0.309276848,0.881511957,0,0,0.006447428,0.02222844,107.297751,0,0
Si,10.6938,0,0,0,0,0.0965,0,0,0,0
TiSa,1.023798,1.058264,5.280792,0,0,0.00377588,0.0122544,321.3616,0,0
Ta2O5_NL,1.779978654,1.539167439,0.592774183,0,0,0.009328963,0.040714091,18.37703115,0,0
SiO2_NL,1.193991082,0.033986444,0.139274415,0,0,0.012339328,17.47717359,58.80320819,0,0
TiO2_NL,4.187079829,0.020703782,0.129984458,0,0,0.050195456,4.002677711,0,0,0
BaF,0.643356,0.506762,3.8261,0,0,0.003339569,0.012029702,2151.698105,0,0
MgF,0.917864184,0.094537956,0,0,0,0.005289355,24.72794002,0,0,0
ZnSe,4.483439793,0.441035591,0.066223707,0,0,0.040981779,0.155007301,63.26480914,0,0
ZnO,2.0065,1570000,1.5868,-1,0,0,100000000,0.0679,0,0
Air,0.000575369,0.00000133,0,0,0,0.004506466,24.16167525,0,0,0
Air2,0.000246339,0.000298879,0,0,0,0.008225035,0.003636912,0,0,0
SiO2_AT,1.108289204,0.225835233,0,0,0,0.008873798,23.7600974,0,0,0
Nb2O5_AT,0.957737138,2.668095772,4205.601498,0,0,0.078685448,0.020659056,150654.6149,0,0
YbGlass,1.321147766,0.039820143,0,0,0,0.009460151,93.63020746,0,0,0
CrLiCAF,0.895439745,0.056497786,0.152522465,0,0,0.000324963,0.070956351,43.67698016,0,0
BBOo,1.731531556,0.090811452,0,0,0,0.011624076,10.12566718,0,0,0
SiO2_AT2,1.107261795,3.198281139,0,0,0,0.009551579,317.8547593,0,0,0
Nb2O5_AT2,0.95727965,2.668848384,40.26616471,0,0,0.078878792,0.020514078,1441.038938,0,0
SiO2_MLD,1.164011253,0,0,0,0,0.010834412,0,0,0,0
Nb2O5_MLD,1.073359138,2.614422812,0,0,0,0.079542953,0.019906523,0,0,0
